副本ID(主线支线挑战为类型ID+世界ID+2位序号，其他为类型ID+4位序号)  探索是11开头的,副本类型（1：主线；2：挑战；3：活动副本；4:多人副本；5：PVP调用；6；庇护所调用；7：支线副本；8：亲密度副本；9：限时活动副本; 10:守护试炼 11：探索副本 12:转职副本 14：公会矿洞 15:幻卡 16:百层塔 17：公会战 21:天守阁）,世界ID,副本名称,副本等级,副本经验,角色经验,副本消耗类型（消耗类型ID）,进入副本消耗,完成副本消耗,副本限制人数,副本阵容ID,前置副本,解锁等级,对应的主线本ID,星级条件描述,星级条件脚本,星级条件奖励类型,星级条件奖励数量,Lua脚本,布阵摄像机,战斗摄像机,结算展示摄像机,结算摄像机,影子摄像机,副本攻略,副本攻略概述（12字）,限制类型1(0：无限制1：限定某些角色登场2：限定某职业角色登场3：限定等级以上角色登场4：限定某性别角色登场5：限定某势力角色登场),限制参数1,限制类型2,限制参数2,副本技能(玩家队伍光环技能),副本特殊要求ICON,副本特殊要求说明,进入布阵时触发的剧情,结算完成后战斗场景触发的剧情,结算完成后中地图触发的剧情,限制次数,是否可以扫荡(1可以0不可以）,亲密度,副本职业,副本战斗力,回合耗尽(0:不显示 1：回合耗尽后，战斗失败 :2：回合耗尽后，战斗胜利）,副本金币和boss伤害挂钩（X+伤害^y*z)，伤害不超过boss血量R,公会战防御队伍出站人数
10618,1,6,106181,76,50,20,4,2,3,4,1,10617,76,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,ep06_04_03.lua,,,,,ShadowCamera3,0,101013,0,0,0,0,0,,0,0,0,0,0,0,1,0,973,1,0,0
10619,1,6,106191,76,50,20,4,2,3,4,1,10618,76,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,ep06_04_04.lua,,,,,ShadowCamera3,103192,101013,0,0,0,0,0,buzhen_icon_10,1578,0,166,0,0,0,1,0,973,1,0,0
10620,1,6,106201,76,50,20,4,2,3,4,1,10619,76,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,ep06_04_05.lua,,,,,ShadowCamera3,0,101013,0,0,0,0,0,,0,0,167,0,0,0,1,0,973,1,0,0
10621,1,6,106211,78,50,20,4,2,3,4,1,10620,78,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,ep06_05_01.lua,,,,,ShadowCamera3,0,101013,0,0,0,0,0,,0,0,0,0,0,0,1,0,973,1,0,0
10622,1,6,106221,78,50,20,4,2,3,4,1,10621,78,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,ep06_05_02.lua,,,,,ShadowCamera3,0,101013,0,0,0,0,0,,0,0,0,0,0,0,1,0,973,1,0,0
10623,1,6,106231,78,50,20,4,2,3,4,1,10622,78,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,ep06_05_03.lua,,,,,ShadowCamera3,0,101013,0,0,0,0,0,,0,0,0,0,0,0,1,0,973,1,0,0
10624,1,6,106241,78,50,20,4,2,3,4,1,10623,78,0,1001;1025;1014,BaseStar;ThreeRoundStar;FiveRoundStar,2;2,3;3;3,ep06_05_04.lua,,,,,ShadowCamera3,103242,101013,0,0,0,0,0,buzhen_icon_10,1579,0,0,0,0,0,1,0,973,1,0,0
10625,1,6,106251,78,50,20,4,2,3,4,1,10624,78,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,ep06_05_05.lua,,,,,ShadowCamera3,0,101013,0,0,0,0,0,,0,168,169,0,0,0,1,0,973,1,0,0
10626,1,6,106261,80,50,20,4,2,3,4,1,10625,80,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,ep06_06_01.lua,,,,,ShadowCamera3,103262,101013,0,0,0,0,0,,0,170,171,0,0,0,1,0,973,1,0,0
10627,1,6,106271,80,50,20,4,2,3,4,1,10626,80,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,ep06_06_02.lua,,,,,ShadowCamera3,103272,101013,0,0,0,0,0,,0,0,0,0,0,0,1,0,973,1,0,0
10628,1,6,106281,80,50,20,4,2,3,4,1,10627,80,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,ep06_06_03.lua,,,,,ShadowCamera3,103282,101013,0,0,0,0,0,,0,0,0,0,0,0,1,0,973,1,0,0
10629,1,6,106291,80,50,20,4,2,3,4,1,10628,80,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,ep06_06_04.lua,,,,,ShadowCamera3,103292,101013,0,0,0,0,0,,0,0,0,0,0,0,1,0,973,1,0,0
10630,1,6,106301,80,50,20,4,2,3,4,1,10629,80,0,1026;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,2;2,3;3;3,ep06_06_05.lua,,,,,ShadowCamera3,103302,101013,0,0,0,0,0,buzhen_icon_10,1577,0,172,0,0,0,1,0,973,2,0,0
10631,1,6,106311,80,50,20,4,2,3,4,1,10630,80,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,ep06_07_01.lua,,,,,ShadowCamera3,103312,101013,0,0,0,0,0,,0,173,0,0,0,0,1,0,973,1,0,0
10632,1,6,106321,80,50,20,4,2,3,4,1,10631,80,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,ep06_07_02.lua,,,,,ShadowCamera3,103322,101013,0,0,0,0,0,,0,0,0,0,0,0,1,0,973,1,0,0
10633,1,6,106331,80,50,20,4,2,3,4,1,10632,80,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,ep06_07_03.lua,,,,,ShadowCamera3,0,101013,0,0,0,0,0,,0,174,175,0,0,0,1,0,973,1,0,0
10634,1,6,106341,80,50,20,4,2,3,4,1,10633,80,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,ep06_07_04.lua,,,,,ShadowCamera3,103342,101013,0,0,0,0,0,,0,0,0,0,0,0,1,0,973,1,0,0
10635,1,6,106351,80,50,20,4,2,3,4,1,10634,80,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,ep06_07_05.lua,,,,,ShadowCamera3,103352,101013,0,0,0,0,0,,0,176,177,0,0,0,1,0,973,1,0,0
20101,2,0,101011,13,50,20,4,2,3,3,2,0,13,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,2;2,3;3;3,hep01_01.lua,,,,,ShadowCamera1,0,101013,2,12;13;14;15,0,0,0,buzhen_icon_2,1491,0,0,0,0,0,1,12,576,1,0,0
20102,2,1,101021,13,50,20,4,2,3,3,2,0,13,10103,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,2;2,3;3;3,hep01_01_01.lua,,,,,ShadowCamera1,0,101013,2,11;13;14;15,0,0,0,buzhen_icon_3,1492,0,0,0,0,0,1,12,576,1,0,0
20103,2,1,101031,13,50,20,4,2,3,3,2,20102,13,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,2;2,3;3;3,hep01_01_02.lua,,,,,ShadowCamera2,0,101013,2,12;13;14;15,0,0,0,buzhen_icon_2,1491,0,0,0,0,0,1,12;13,741,1,0,0
20104,2,1,101041,14,50,20,4,2,3,3,2,20103,14,10106,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,2;2,3;3;3,hep01_02.lua,,,,,ShadowCamera1,0,101013,2,11;12;14;15,0,0,0,buzhen_icon_4,1493,0,0,0,0,0,1,11;13,610,1,0,0
20105,2,1,101051,14,50,20,4,2,3,3,2,20104,14,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,2;2,3;3;3,hep01_02_01.lua,,,,,ShadowCamera1,0,101013,2,11;13;14;15,0,0,0,buzhen_icon_3,1492,0,0,0,0,0,1,12;13,610,1,0,0
20106,2,1,101061,14,50,20,4,2,3,3,2,20105,14,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,2;2,3;3;3,hep01_02_02.lua,,,,,ShadowCamera3,0,101013,2,12;13;14;15,0,0,0,buzhen_icon_2,1491,0,0,0,0,0,1,11;15,784,1,0,0
20107,2,1,101071,15,50,20,4,2,3,3,2,20106,15,10110,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,2;2,3;3;3,hep01_03.lua,,,,,ShadowCamera1,0,101013,2,11;12;14;15,0,0,0,buzhen_icon_4,1493,0,0,0,0,0,1,13,627,1,0,0
20108,2,1,101081,15,50,20,4,2,3,3,2,20107,15,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,2;2,3;3;3,hep01_03_01.lua,,,,,ShadowCamera1,0,101013,2,11;13;14;15,0,0,0,buzhen_icon_3,1492,0,0,0,0,0,1,11;13,627,1,0,0
20109,2,1,101091,15,50,20,4,2,3,3,2,20108,15,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,2;2,3;3;3,hep01_03_02.lua,,,,,ShadowCamera1,0,101013,2,11;13;14;15,0,0,0,buzhen_icon_3,1492,0,0,0,0,0,1,12;13,645,1,0,0
20110,2,1,101101,15,50,20,4,2,3,3,2,20109,15,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,2;2,3;3;3,hep01_03_03.lua,,,,,ShadowCamera3,0,101013,2,11;12;13;15,0,0,0,buzhen_icon_1,1494,0,0,0,0,0,1,14,828,1,0,0
20111,2,1,101111,16,50,20,4,2,3,3,2,20110,16,10115,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,2;2,3;3;3,hep01_04.lua,,,,,ShadowCamera1,0,101013,2,11;12;14;15,0,0,0,buzhen_icon_4,1493,0,0,0,0,0,1,12;13,662,1,0,0
20112,2,1,101121,16,50,20,4,2,3,3,2,20111,16,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,2;2,3;3;3,hep01_04_01.lua,,,,,ShadowCamera2,0,101013,2,11;12;14;15,0,0,0,buzhen_icon_4,1493,0,0,0,0,0,1,12;13,679,1,0,0
20113,2,1,101131,16,50,20,4,2,3,3,2,20112,16,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,2;2,3;3;3,hep01_04_02.lua,,,,,ShadowCamera2,0,101013,2,11;12;14;15,0,0,0,buzhen_icon_4,1493,0,0,0,0,0,1,11;12,696,1,0,0
20114,2,1,101141,16,50,20,4,2,3,3,2,20113,16,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,2;2,3;3;3,hep01_04_03.lua,,,,,ShadowCamera2,0,101013,2,12;13;14;15,0,0,0,buzhen_icon_2,1491,0,0,0,0,0,1,13;14,696,1,0,0
20115,2,1,101151,16,50,20,4,2,3,3,2,20114,16,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,hep01_04_04.lua,,,,,ShadowCamera3,0,101013,2,12;13;14;15,0,0,0,buzhen_icon_2,1491,0,0,0,0,0,1,12,871,1,0,0
20116,2,1,101161,17,50,20,4,2,3,4,2,20115,17,10120,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,2;2,3;3;3,hep01_05.lua,,,,,ShadowCamera1,0,101013,2,11;13;14;15,0,0,0,buzhen_icon_3,1492,0,0,0,0,0,1,12;13,714,1,0,0
20117,2,1,101171,17,50,20,4,2,3,4,2,20116,17,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,2;2,3;3;3,hep01_05_01.lua,,,,,ShadowCamera1,0,101013,2,12;13;14;15,0,0,0,buzhen_icon_2,1491,0,0,0,0,0,1,12,714,1,0,0
20118,2,1,101181,17,50,20,4,2,3,4,2,20117,17,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,2;2,3;3;3,hep01_05_02.lua,,,,,ShadowCamera1,0,101013,2,11;12;14;15,0,0,0,buzhen_icon_4,1493,0,0,0,0,0,1,11;14,731,1,0,0
20119,2,1,101191,17,50,20,4,2,3,4,2,20118,17,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,2;2,3;3;3,hep01_05_03.lua,,,,,ShadowCamera1,0,101013,2,11;13;14;15,0,0,0,buzhen_icon_3,1492,0,0,0,0,0,1,11;12,731,1,0,0
20120,2,1,101201,17,50,20,4,2,3,4,2,20119,17,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,hep01_05_04.lua,,,,,ShadowCamera3,0,101013,2,11;12;13;14,0,0,0,buzhen_icon_5,1495,0,0,0,0,0,1,15,936,1,0,0
20121,2,1,101211,18,50,20,4,2,3,4,2,20120,18,10125,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,2;2,3;3;3,hep01_06.lua,,,,,ShadowCamera1,0,101013,2,11;12;13;15,0,0,0,buzhen_icon_1,1494,0,0,0,0,0,1,11;14,748,1,0,0
20122,2,1,101221,18,50,20,4,2,3,4,2,20121,18,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,2;2,3;3;3,hep01_06_01.lua,,,,,ShadowCamera1,0,101013,2,11;12;13;14,0,0,0,buzhen_icon_5,1495,0,0,0,0,0,1,14;15,748,1,0,0
20123,2,1,101231,18,50,20,4,2,3,4,2,20122,18,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,2;2,3;3;3,hep01_06_02.lua,,,,,ShadowCamera1,0,101013,2,11;12;13;15,0,0,0,buzhen_icon_1,1494,0,0,0,0,0,1,14;15,766,1,0,0
20124,2,1,101241,18,50,20,4,2,3,4,2,20123,18,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,2;2,3;3;3,hep01_06_03.lua,,,,,ShadowCamera1,0,101013,2,11;12;13;14,0,0,0,buzhen_icon_5,1495,0,0,0,0,0,1,11;15,766,1,0,0
20125,2,1,101251,18,50,20,4,2,3,4,2,20124,18,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,hep01_06_04.lua,,,,,ShadowCamera3,0,101013,2,12;13;14;15,0,0,0,buzhen_icon_2,1491,0,0,0,0,0,1,11;12;15,957,1,0,0
20126,2,1,101261,19,50,20,4,2,3,4,2,20125,19,10130,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,2;2,3;3;3,hep01_07.lua,,,,,ShadowCamera1,0,101013,2,11;12;13;15,0,0,0,buzhen_icon_1,1494,0,0,0,0,0,1,11;14,766,1,0,0
20127,2,1,101271,19,50,20,4,2,3,4,2,20126,19,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,2;2,3;3;3,hep01_07_01.lua,,,,,ShadowCamera1,0,101013,2,11;12;13;14,0,0,0,buzhen_icon_5,1495,0,0,0,0,0,1,12;14,766,1,0,0
20128,2,1,101281,19,50,20,4,2,3,4,2,20127,19,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,2;2,3;3;3,hep01_07_02.lua,,,,,ShadowCamera1,0,101013,2,11;12;13;15,0,0,0,buzhen_icon_1,1494,0,0,0,0,0,1,12;14,783,1,0,0
20129,2,1,101291,19,50,20,4,2,3,4,2,20128,19,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,2;2,3;3;3,hep01_07_03.lua,,,,,ShadowCamera1,0,101013,2,11;12;13;14,0,0,0,buzhen_icon_5,1495,0,0,0,0,0,1,12;14,783,1,0,0
20130,2,1,101301,19,50,20,4,2,3,4,2,20129,19,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,hep01_07_04.lua,,,,,ShadowCamera3,0,101013,2,11;12;13;14,0,0,0,buzhen_icon_5,1495,0,0,0,0,0,1,11;13,1000,1,0,0
20131,2,1,101311,21,50,20,4,2,3,4,2,20130,21,10135,1001;1003;1005,BaseStar;AllPlayerLiveStar;AllMachineLiveStar,2;2,3;3;3,hep01_08.lua,,,,,ShadowCamera1,0,101013,2,12;13;14;15,0,0,0,buzhen_icon_2,1491,0,0,0,0,0,1,12;13,800,1,0,0
20132,2,1,101321,21,50,20,4,2,3,4,2,20131,21,0,1001;1003;1006,BaseStar;AllPlayerLiveStar;AllMachineLiveStar,2;2,3;3;3,hep01_08_01.lua,,,,,ShadowCamera1,0,101013,2,11;12;14;15,0,0,0,buzhen_icon_4,1493,0,0,0,0,0,1,11;13,800,1,0,0
20133,2,1,101331,21,50,20,4,2,3,4,2,20132,21,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,2;2,3;3;3,hep01_08_02.lua,,,,,ShadowCamera1,0,101013,2,11;13;14;15,0,0,0,buzhen_icon_3,1492,0,0,0,0,0,1,11;12;13,800,1,0,0
20134,2,1,101341,21,50,20,4,2,3,4,2,20133,21,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,2;2,3;3;3,hep01_08_03.lua,,,,,ShadowCamera1,0,101013,2,12;13;14;15,0,0,0,buzhen_icon_2,1491,0,0,0,0,0,1,12;13,800,1,0,0
20135,2,1,101351,21,50,20,4,2,3,4,2,20134,21,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,hep01_08_04.lua,,,,,ShadowCamera3,0,101013,2,11;12;13;15,0,0,0,buzhen_icon_1,1494,0,0,0,0,0,1,15,1000,1,0,0
20136,2,1,101361,23,50,20,4,2,3,4,2,20135,23,10140,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,2;2,3;3;3,hep01_09.lua,,,,,ShadowCamera1,0,101013,2,11;12;13;15,0,0,0,buzhen_icon_1,1494,0,0,0,0,0,1,13;14,817,1,0,0
20137,2,1,101371,23,50,20,4,2,3,4,2,20136,23,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,2;2,3;3;3,hep01_09_01.lua,,,,,ShadowCamera1,0,101013,2,11;12;13;15,0,0,0,buzhen_icon_1,1494,0,0,0,0,0,1,11;14,817,1,0,0
20138,2,1,101381,23,50,20,4,2,3,4,2,20137,23,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,2;2,3;3;3,hep01_09_02.lua,,,,,ShadowCamera1,0,101013,2,11;12;14;15,0,0,0,buzhen_icon_4,1493,0,0,0,0,0,1,11,817,1,0,0
20139,2,1,101391,23,50,20,4,2,3,4,2,20138,23,0,1001;1002;1003,BaseStar;LessOnePlayerDeadStar;AllPlayerLiveStar,2;2,3;3;3,hep01_09_03.lua,,,,,ShadowCamera1,0,101013,2,11;12;13;15,0,0,0,buzhen_icon_1,1494,0,0,0,0,0,1,11;15,817,1,0,0
20140,2,1,101401,23,50,20,4,2,3,4,2,20139,23,0,1004;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,hep01_09_04.lua,,,,,ShadowCamera3,0,101013,2,11;12;13;14,0,0,0,buzhen_icon_10;buzhen_icon_5,1510;1495,0,0,0,0,0,1,14,1022,1,0,0
20201,2,2,102011,24,50,20,4,2,3,4,2,20140,24,10203,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,hep02_01_01.lua,,,,,ShadowCamera3,0,101013,2,11;12;13;14,0,0,0,buzhen_icon_5,1495,0,0,0,0,0,1,12;15,921,1,0,0
20202,2,2,102021,24,50,20,4,2,3,4,2,20201,24,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,hep02_01_02.lua,,,,,ShadowCamera3,0,101013,2,11;12;13;14,0,0,0,buzhen_icon_5,1495,0,0,0,0,0,1,12;14,921,1,0,0
20203,2,2,102031,24,50,20,4,2,3,4,2,20202,24,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,hep02_01_03.lua,,,,,ShadowCamera3,0,101013,2,12;13;14;15,0,0,0,buzhen_icon_2,1491,0,0,0,0,0,1,11;15,1152,1,0,0
20204,2,2,102041,25,50,20,4,2,3,4,2,20203,25,10207,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,hep02_02_01.lua,,,,,ShadowCamera3,0,101013,2,11;12;13;15,0,0,0,buzhen_icon_1,1494,0,0,0,0,0,1,11;12,938,1,0,0
20205,2,2,102051,25,50,20,4,2,3,4,2,20204,25,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,hep02_02_02.lua,,,,,ShadowCamera3,0,101013,2,11;12;13;14,0,0,0,buzhen_icon_5,1495,0,0,0,0,0,1,13;15,938,1,0,0
20206,2,2,102061,25,50,20,4,2,3,4,2,20205,25,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,hep02_02_03.lua,,,,,ShadowCamera3,0,101013,2,11;12;13;15,0,0,0,buzhen_icon_1,1494,0,0,0,0,0,1,13;14,938,1,0,0
20207,2,2,102071,25,50,20,4,2,3,4,2,20206,25,0,1001;1003;1015,BaseStar;AllPlayerLiveStar;BatttleSartLess3;,2;2,3;3;3,hep02_02_04.lua,,,,,ShadowCamera3,0,101013,2,12;13;14;15,0,0,0,buzhen_icon_2,1491,0,0,0,0,0,1,12;13,1173,1,0,0
20208,2,2,102081,26,50,20,4,2,3,4,2,20207,26,10212,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,hep02_03_01.lua,,,,,ShadowCamera3,0,101013,2,11;12;13;15,0,0,0,buzhen_icon_1,1494,0,0,0,0,0,1,11;14,956,1,0,0
20209,2,2,102091,26,50,20,4,2,3,4,2,20208,26,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,hep02_03_02.lua,,,,,ShadowCamera3,0,101013,2,11;12;13;15,0,0,0,buzhen_icon_1,1494,0,0,0,0,0,1,11;14,956,1,0,0
20210,2,2,102101,26,50,20,4,2,3,4,2,20209,26,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,hep02_03_03.lua,,,,,ShadowCamera3,0,101013,2,11;12;14;15,0,0,0,buzhen_icon_4,1493,0,0,0,0,0,1,13;14,956,1,0,0
20211,2,2,102111,26,50,20,4,2,3,4,2,20210,26,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,hep02_03_04.lua,,,,,ShadowCamera3,0,101013,2,11;12;14;15,0,0,0,buzhen_icon_4,1493,0,0,0,0,0,1,12,956,1,0,0
20212,2,2,102121,26,50,20,4,2,3,4,2,20211,26,0,1013;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,hep02_03_05.lua,,,,,ShadowCamera3,0,101013,2,11;12;14;15,0,0,0,buzhen_icon_10;buzhen_icon_4,1511;1493,0,0,0,0,0,1,11;13,1195,1,0,0
20213,2,2,102131,27,50,20,4,2,3,4,2,20212,27,10217,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,hep02_04_01.lua,,,,,ShadowCamera3,0,101013,2,12;13;14;15,0,0,0,buzhen_icon_2,1491,0,0,0,0,0,1,12,973,1,0,0
20214,2,2,102141,27,50,20,4,2,3,4,2,20213,27,0,1001;1003;1017,BaseStar;AllPlayerLiveStar;AllMachineLiveStar,2;2,3;3;3,hep02_04_02.lua,,,,,ShadowCamera3,0,101013,2,11;13;14;15,0,0,0,buzhen_icon_3,1492,0,0,0,0,0,1,11;12,973,1,0,0
20215,2,2,102151,27,50,20,4,2,3,4,2,20214,27,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,hep02_04_03.lua,,,,,ShadowCamera3,0,101013,2,11;12;14;15,0,0,0,buzhen_icon_4,1493,0,0,0,0,0,1,12;13,973,1,0,0
20216,2,2,102161,27,50,20,4,2,3,4,2,20215,27,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,hep02_04_04.lua,,,,,ShadowCamera3,0,101013,2,12;13;14;15,0,0,0,buzhen_icon_2,1491,0,0,0,0,0,1,11;13,973,1,0,0
20217,2,2,102171,27,50,20,4,2,3,4,2,20216,27,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,hep02_04_05.lua,,,,,ShadowCamera3,0,101013,2,11;12;13;14,0,0,0,buzhen_icon_10;buzhen_icon_5,1520;1495,0,0,0,0,0,1,12;13;14,1216,1,0,0
20218,2,2,102181,28,50,20,4,2,3,4,2,20217,28,10222,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,hep02_05_01.lua,,,,,ShadowCamera3,0,101013,2,11;12;13;15,0,0,0,buzhen_icon_1,1494,0,0,0,0,0,1,12,990,1,0,0
20219,2,2,102191,28,50,20,4,2,3,4,2,20218,28,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,hep02_05_02.lua,,,,,ShadowCamera3,0,101013,2,11;12;14;15,0,0,0,buzhen_icon_4,1493,0,0,0,0,0,1,11;13,990,1,0,0
20220,2,2,102201,28,50,20,4,2,3,4,2,20219,28,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,hep02_05_03.lua,,,,,ShadowCamera3,0,101013,2,11;13;14;15,0,0,0,buzhen_icon_3,1492,0,0,0,0,0,1,12;14,990,1,0,0
20221,2,2,102211,28,50,20,4,2,3,4,2,20220,28,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,hep02_05_04.lua,,,,,ShadowCamera3,0,101013,2,11;12;14;15,0,0,0,buzhen_icon_4,1493,0,0,0,0,0,1,12;13,990,1,0,0
20222,2,2,102221,28,50,20,4,2,3,4,2,20221,28,0,1011;1003;1015,BaseStar;AllPlayerLiveStar;BatttleSartLess3;,2;2,3;3;3,hep02_05_05.lua,,,,,ShadowCamera3,0,101013,2,12;13;14;15,0,0,0,buzhen_icon_10;buzhen_icon_2,1512;1491,0,0,0,0,0,1,11;13,1238,1,0,0
20223,2,2,102231,29,50,20,4,2,3,4,2,20222,29,10227,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,hep02_06_01.lua,,,,,ShadowCamera3,0,101013,2,11;12;14;15,0,0,0,buzhen_icon_4,1493,0,0,0,0,0,1,11;13,1008,1,0,0
20224,2,2,102241,29,50,20,4,2,3,4,2,20223,29,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,hep02_06_02.lua,,,,,ShadowCamera3,0,101013,2,11;13;14;15,0,0,0,buzhen_icon_3,1492,0,0,0,0,0,1,11;12,1008,1,0,0
20225,2,2,102251,29,50,20,4,2,3,4,2,20224,29,0,1001;1003;1014,BaseStar;AllPlayerLiveStar;FiveRoundStar,2;2,3;3;3,hep02_06_03.lua,,,,,ShadowCamera3,0,101013,2,11;13;14;15,0,0,0,buzhen_icon_3,1492,0,0,0,0,0,1,12;14,1008,1,0,0
