序号,卡牌资源,最高等级/怪物等级,星级,最高星级,进化所需,可突破次数,名称,性别,职业,阵营,特殊类型,攻击范围,攻击类型,材质,默认视野,AI编号,是否Boss,是否大型,1级血量,1级物攻,1级魔攻,1级物防,1级魔防,1级速度,升级血量,升级物攻,升级魔攻,升级物防,升级魔防,升级速度,暴率,暴击抗性,命中,闪避,反击,反击次数,反击抗性,格挡,格挡抗性,伤害浮动范围,基础仇恨,稀有,占几个格子,可行动次数,每次行动衰减,移动范围,可移动高度,可攻击高度,可否斜向移动,穿越其他人,被其他人穿越,飞行,普攻技能,被动技能,防御技能,怒气技能1,怒气技能2,角色怒气上限,卡牌出场特效,卡面特效,升级类别,唯一编号,转换成碎片数,类型(0玩家卡牌；1普通小怪；2普通BOSS；3需要显示大血条的巨型BOSS）,宗属国,模型缩放,普攻寻路,必杀寻路,SSR,效果命中,效果抵抗,暴击伤害,物理穿透,魔法穿透,可转职业,星石类型,选择类型,血条系数,弓手动作,特殊AI,特殊进攻AI
2801,28,80,2,6,30;5000,0,281,2,15,23,0,1,2,0,100,7,0,0,103,0,36,32,32,63,23,0,7,7,7,0,7,0,100,0,0,0,0,0,0,0,0,0,1,1,50,2,1,1,0,0,0,0,0,0,0,0,0,850,0,1,1,28,10,0,0,1,81110,91110,2,0,0,150,0,0,29;30;31;33;32,1|1;2|2;3|4;4|255,0,1,0,210002|7200;210001|7200;210000|7200;170000|7200;170001|7200;170002|7200;170003|7200;170004|7200;170005|7200;170006|7200;170007|7200;170008|7050;170009|7050;170010|7200;170011|7200;170012|7200;170013|7200;170014|7200;170015|7200;170016|7200;170017|7200;170018|7050;170019|7050;170020|7200;170021|7200;170022|7200;170023|7200;170024|7200;170025|7200;170026|7200;170027|7200;170028|7050;170029|7050,210002|7200;210001|7200;210000|7200
2802,28,80,3,6,60;20000,0,281,2,15,23,0,1,2,0,100,7,0,0,120,0,42,38,38,73,27,0,9,8,8,0,7,0,100,0,0,0,0,0,0,0,0,0,1,1,50,2,1,1,0,0,0,0,0,0,0,0,0,850,0,1,1,28,40,0,0,1,81110,91110,2,0,0,150,0,0,29;30;31;33;32,1|1;2|2;3|4;4|255,0,1,0,210002|7200;210001|7200;210000|7200;170000|7200;170001|7200;170002|7200;170003|7200;170004|7200;170005|7200;170006|7200;170007|7200;170008|7050;170009|7050;170010|7200;170011|7200;170012|7200;170013|7200;170014|7200;170015|7200;170016|7200;170017|7200;170018|7050;170019|7050;170020|7200;170021|7200;170022|7200;170023|7200;170024|7200;170025|7200;170026|7200;170027|7200;170028|7050;170029|7050,210002|7200;210001|7200;210000|7200
2803,28,80,4,6,100;100000,0,281,2,15,23,0,1,2,0,100,7,0,0,138,0,48,43,43,84,31,0,10,9,9,0,7,0,100,0,0,0,0,0,0,0,0,0,1,1,50,2,1,1,0,0,0,0,0,0,0,0,0,850,0,1,1,28,100,0,0,1,81110,91110,2,0,0,150,0,0,29;30;31;33;32,1|1;2|2;3|4;4|255,0,1,0,210002|7200;210001|7200;210000|7200;170000|7200;170001|7200;170002|7200;170003|7200;170004|7200;170005|7200;170006|7200;170007|7200;170008|7050;170009|7050;170010|7200;170011|7200;170012|7200;170013|7200;170014|7200;170015|7200;170016|7200;170017|7200;170018|7050;170019|7050;170020|7200;170021|7200;170022|7200;170023|7200;170024|7200;170025|7200;170026|7200;170027|7200;170028|7050;170029|7050,210002|7200;210001|7200;210000|7200
2804,28,80,5,6,200;200000,0,281,2,15,23,0,1,2,0,100,7,0,0,155,0,54,48,48,94,35,0,11,10,10,0,7,0,100,0,0,0,0,0,0,0,0,0,1,1,50,2,1,1,0,0,0,0,0,0,0,0,0,850,0,1,1,28,200,0,0,1,81110,91110,2,0,0,150,0,0,29;30;31;33;32,1|1;2|2;3|4;4|255,0,1,0,210002|7200;210001|7200;210000|7200;170000|7200;170001|7200;170002|7200;170003|7200;170004|7200;170005|7200;170006|7200;170007|7200;170008|7050;170009|7050;170010|7200;170011|7200;170012|7200;170013|7200;170014|7200;170015|7200;170016|7200;170017|7200;170018|7050;170019|7050;170020|7200;170021|7200;170022|7200;170023|7200;170024|7200;170025|7200;170026|7200;170027|7200;170028|7050;170029|7050,210002|7200;210001|7200;210000|7200
2805,28,80,6,6,0;0,4,281,2,15,23,0,1,2,0,100,7,0,0,172,0,60,54,54,105,39,0,13,11,11,0,7,0,100,0,0,0,0,0,0,0,0,0,1,1,50,2,1,1,0,0,0,0,0,0,0,0,0,850,0,1,1,28,400,0,0,1,81110,91110,2,0,0,150,0,0,29;30;31;33;32,1|1;2|2;3|4;4|255,0,1,0,210002|7200;210001|7200;210000|7200;170000|7200;170001|7200;170002|7200;170003|7200;170004|7200;170005|7200;170006|7200;170007|7200;170008|7050;170009|7050;170010|7200;170011|7200;170012|7200;170013|7200;170014|7200;170015|7200;170016|7200;170017|7200;170018|7050;170019|7050;170020|7200;170021|7200;170022|7200;170023|7200;170024|7200;170025|7200;170026|7200;170027|7200;170028|7050;170029|7050,210002|7200;210001|7200;210000|7200
2901,29,80,2,6,30;5000,0,291,2,11,22,0,1,1,0,100,7,0,0,120,34,0,39,31,64,27,7,0,8,6,0,7,0,100,0,4,0,0,0,0,0,0,0,1,1,50,2,1,1,0,0,0,0,0,0,0,0,0,1020,0,1,1,29,10,0,0,1,81110,91110,2,0,0,150,0,0,1;2;3;4;6,1|1;2|2;3|4;4|255,0,1,0,210002|7060;210001|7060;210000|7060;170000|7060;170001|7060;170002|7060;170003|7060;170004|7060;170005|7060;170006|7060;170007|7060;170008|7010;170009|7010;170010|7060;170011|7060;170012|7060;170013|7060;170014|7060;170015|7060;170016|7060;170017|7060;170018|7010;170019|7010;170020|7060;170021|7060;170022|7060;170023|7060;170024|7060;170025|7060;170026|7060;170027|7060;170028|7010;170029|7010,210002|7060;210001|7060;210000|7060
2902,29,80,3,6,60;20000,0,291,2,11,22,0,1,1,0,100,7,0,0,141,40,0,46,36,75,32,8,0,10,8,0,7,0,100,0,4,0,0,0,0,0,0,0,1,1,50,2,1,1,0,0,0,0,0,0,0,0,0,1020,0,1,1,29,40,0,0,1,81110,91110,2,0,0,150,0,0,1;2;3;4;6,1|1;2|2;3|4;4|255,0,1,0,210002|7060;210001|7060;210000|7060;170000|7060;170001|7060;170002|7060;170003|7060;170004|7060;170005|7060;170006|7060;170007|7060;170008|7010;170009|7010;170010|7060;170011|7060;170012|7060;170013|7060;170014|7060;170015|7060;170016|7060;170017|7060;170018|7010;170019|7010;170020|7060;170021|7060;170022|7060;170023|7060;170024|7060;170025|7060;170026|7060;170027|7060;170028|7010;170029|7010,210002|7060;210001|7060;210000|7060
2903,29,80,4,6,100;100000,0,291,2,11,22,0,1,1,0,100,7,0,0,161,46,0,53,41,86,36,10,0,11,9,0,7,0,100,0,4,0,0,0,0,0,0,0,1,1,50,2,1,1,0,0,0,0,0,0,0,0,0,1020,0,1,1,29,100,0,0,1,81110,91110,2,0,0,150,0,0,1;2;3;4;6,1|1;2|2;3|4;4|255,0,1,0,210002|7060;210001|7060;210000|7060;170000|7060;170001|7060;170002|7060;170003|7060;170004|7060;170005|7060;170006|7060;170007|7060;170008|7010;170009|7010;170010|7060;170011|7060;170012|7060;170013|7060;170014|7060;170015|7060;170016|7060;170017|7060;170018|7010;170019|7010;170020|7060;170021|7060;170022|7060;170023|7060;170024|7060;170025|7060;170026|7060;170027|7060;170028|7010;170029|7010,210002|7060;210001|7060;210000|7060
2904,29,80,5,6,200;200000,0,291,2,11,22,0,1,1,0,100,7,0,0,181,51,0,59,47,97,41,11,0,13,10,0,7,0,100,0,4,0,0,0,0,0,0,0,1,1,50,2,1,1,0,0,0,0,0,0,0,0,0,1020,0,1,1,29,200,0,0,1,81110,91110,2,0,0,150,0,0,1;2;3;4;6,1|1;2|2;3|4;4|255,0,1,0,210002|7060;210001|7060;210000|7060;170000|7060;170001|7060;170002|7060;170003|7060;170004|7060;170005|7060;170006|7060;170007|7060;170008|7010;170009|7010;170010|7060;170011|7060;170012|7060;170013|7060;170014|7060;170015|7060;170016|7060;170017|7060;170018|7010;170019|7010;170020|7060;170021|7060;170022|7060;170023|7060;170024|7060;170025|7060;170026|7060;170027|7060;170028|7010;170029|7010,210002|7060;210001|7060;210000|7060
2905,29,80,6,6,0;0,4,291,2,11,22,0,1,1,0,100,7,0,0,201,57,0,66,52,108,46,12,0,14,11,0,7,0,100,0,4,0,0,0,0,0,0,0,1,1,50,2,1,1,0,0,0,0,0,0,0,0,0,1020,0,1,1,29,400,0,0,1,81110,91110,2,0,0,150,0,0,1;2;3;4;6,1|1;2|2;3|4;4|255,0,1,0,210002|7060;210001|7060;210000|7060;170000|7060;170001|7060;170002|7060;170003|7060;170004|7060;170005|7060;170006|7060;170007|7060;170008|7010;170009|7010;170010|7060;170011|7060;170012|7060;170013|7060;170014|7060;170015|7060;170016|7060;170017|7060;170018|7010;170019|7010;170020|7060;170021|7060;170022|7060;170023|7060;170024|7060;170025|7060;170026|7060;170027|7060;170028|7010;170029|7010,210002|7060;210001|7060;210000|7060
3001,30,80,2,6,30;5000,0,301,2,11,23,0,1,1,0,100,7,0,0,126,35,0,40,36,63,29,7,0,8,7,0,7,0,100,0,0,0,0,0,0,0,0,0,1,1,50,2,1,1,0,0,0,0,0,0,0,0,0,1020,0,1,1,30,10,0,0,1,81110,91110,2,0,0,150,0,0,1;2;3;4;6,1|1;2|2;3|4;4|255,0,1,0,210002|7060;210001|7060;210000|7060;170000|7060;170001|7060;170002|7060;170003|7060;170004|7060;170005|7060;170006|7060;170007|7060;170008|7010;170009|7010;170010|7060;170011|7060;170012|7060;170013|7060;170014|7060;170015|7060;170016|7060;170017|7060;170018|7010;170019|7010;170020|7060;170021|7060;170022|7060;170023|7060;170024|7060;170025|7060;170026|7060;170027|7060;170028|7010;170029|7010,210002|7060;210001|7060;210000|7060
3002,30,80,3,6,60;20000,0,301,2,11,23,0,1,1,0,100,7,0,0,147,41,0,47,42,73,33,9,0,10,9,0,7,0,100,0,0,0,0,0,0,0,0,0,1,1,50,2,1,1,0,0,0,0,0,0,0,0,0,1020,0,1,1,30,40,0,0,1,81110,91110,2,0,0,150,0,0,1;2;3;4;6,1|1;2|2;3|4;4|255,0,1,0,210002|7060;210001|7060;210000|7060;170000|7060;170001|7060;170002|7060;170003|7060;170004|7060;170005|7060;170006|7060;170007|7060;170008|7010;170009|7010;170010|7060;170011|7060;170012|7060;170013|7060;170014|7060;170015|7060;170016|7060;170017|7060;170018|7010;170019|7010;170020|7060;170021|7060;170022|7060;170023|7060;170024|7060;170025|7060;170026|7060;170027|7060;170028|7010;170029|7010,210002|7060;210001|7060;210000|7060
3003,30,80,4,6,100;100000,0,301,2,11,23,0,1,1,0,100,7,0,0,168,47,0,53,48,84,38,10,0,11,10,0,7,0,100,0,0,0,0,0,0,0,0,0,1,1,50,2,1,1,0,0,0,0,0,0,0,0,0,1020,0,1,1,30,100,0,0,1,81110,91110,2,0,0,150,0,0,1;2;3;4;6,1|1;2|2;3|4;4|255,0,1,0,210002|7060;210001|7060;210000|7060;170000|7060;170001|7060;170002|7060;170003|7060;170004|7060;170005|7060;170006|7060;170007|7060;170008|7010;170009|7010;170010|7060;170011|7060;170012|7060;170013|7060;170014|7060;170015|7060;170016|7060;170017|7060;170018|7010;170019|7010;170020|7060;170021|7060;170022|7060;170023|7060;170024|7060;170025|7060;170026|7060;170027|7060;170028|7010;170029|7010,210002|7060;210001|7060;210000|7060
3004,30,80,5,6,200;200000,0,301,2,11,23,0,1,1,0,100,7,0,0,190,52,0,60,54,94,43,11,0,13,11,0,7,0,100,0,0,0,0,0,0,0,0,0,1,1,50,2,1,1,0,0,0,0,0,0,0,0,0,1020,0,1,1,30,200,0,0,1,81110,91110,2,0,0,150,0,0,1;2;3;4;6,1|1;2|2;3|4;4|255,0,1,0,210002|7060;210001|7060;210000|7060;170000|7060;170001|7060;170002|7060;170003|7060;170004|7060;170005|7060;170006|7060;170007|7060;170008|7010;170009|7010;170010|7060;170011|7060;170012|7060;170013|7060;170014|7060;170015|7060;170016|7060;170017|7060;170018|7010;170019|7010;170020|7060;170021|7060;170022|7060;170023|7060;170024|7060;170025|7060;170026|7060;170027|7060;170028|7010;170029|7010,210002|7060;210001|7060;210000|7060
3005,30,80,6,6,0;0,4,301,2,11,23,0,1,1,0,100,7,0,0,211,58,0,67,60,105,48,12,0,14,13,0,7,0,100,0,0,0,0,0,0,0,0,0,1,1,50,2,1,1,0,0,0,0,0,0,0,0,0,1020,0,1,1,30,400,0,0,1,81110,91110,2,0,0,150,0,0,1;2;3;4;6,1|1;2|2;3|4;4|255,0,1,0,210002|7060;210001|7060;210000|7060;170000|7060;170001|7060;170002|7060;170003|7060;170004|7060;170005|7060;170006|7060;170007|7060;170008|7010;170009|7010;170010|7060;170011|7060;170012|7060;170013|7060;170014|7060;170015|7060;170016|7060;170017|7060;170018|7010;170019|7010;170020|7060;170021|7060;170022|7060;170023|7060;170024|7060;170025|7060;170026|7060;170027|7060;170028|7010;170029|7010,210002|7060;210001|7060;210000|7060
3101,31,80,2,6,30;5000,0,311,1,14,22,0,1,2,0,100,7,0,0,115,0,42,36,36,60,26,0,9,7,7,0,9,0,100,0,0,0,0,0,0,0,0,0,1,1,75,2,1,1,0,0,0,0,0,0,0,0,0,1020,0,1,1,31,10,0,0,1,81110,91110,3,0,0,150,0,0,22;23;24;25;28,1|1;2|2;3|4;4|255,0,1,0,210002|7090;210001|7090;210000|7090;170000|7090;170001|7090;170002|7090;170003|7090;170004|7090;170005|7090;170006|7090;170007|7090;170008|7040;170009|7040;170010|7090;170011|7090;170012|7090;170013|7090;170014|7090;170015|7090;170016|7090;170017|7090;170018|7040;170019|7040;170020|7090;170021|7090;170022|7090;170023|7090;170024|7090;170025|7090;170026|7090;170027|7090;170028|7040;170029|7040,210002|7090;210001|7090;210000|7090
3102,31,80,3,6,60;20000,0,311,1,14,22,0,1,2,0,100,7,0,0,134,0,49,42,42,70,30,0,10,9,9,0,9,0,100,0,0,0,0,0,0,0,0,0,1,1,75,2,1,1,0,0,0,0,0,0,0,0,0,1020,0,1,1,31,40,0,0,1,81110,91110,3,0,0,150,0,0,22;23;24;25;28,1|1;2|2;3|4;4|255,0,1,0,210002|7090;210001|7090;210000|7090;170000|7090;170001|7090;170002|7090;170003|7090;170004|7090;170005|7090;170006|7090;170007|7090;170008|7040;170009|7040;170010|7090;170011|7090;170012|7090;170013|7090;170014|7090;170015|7090;170016|7090;170017|7090;170018|7040;170019|7040;170020|7090;170021|7090;170022|7090;170023|7090;170024|7090;170025|7090;170026|7090;170027|7090;170028|7040;170029|7040,210002|7090;210001|7090;210000|7090
3103,31,80,4,6,100;100000,0,311,1,14,22,0,1,2,0,100,7,0,0,153,0,56,48,48,80,35,0,12,10,10,0,9,0,100,0,0,0,0,0,0,0,0,0,1,1,75,2,1,1,0,0,0,0,0,0,0,0,0,1020,0,1,1,31,100,0,0,1,81110,91110,3,0,0,150,0,0,22;23;24;25;28,1|1;2|2;3|4;4|255,0,1,0,210002|7090;210001|7090;210000|7090;170000|7090;170001|7090;170002|7090;170003|7090;170004|7090;170005|7090;170006|7090;170007|7090;170008|7040;170009|7040;170010|7090;170011|7090;170012|7090;170013|7090;170014|7090;170015|7090;170016|7090;170017|7090;170018|7040;170019|7040;170020|7090;170021|7090;170022|7090;170023|7090;170024|7090;170025|7090;170026|7090;170027|7090;170028|7040;170029|7040,210002|7090;210001|7090;210000|7090
3104,31,80,5,6,200;200000,0,311,1,14,22,0,1,2,0,100,7,0,0,172,0,63,54,54,90,39,0,13,11,11,0,9,0,100,0,0,0,0,0,0,0,0,0,1,1,75,2,1,1,0,0,0,0,0,0,0,0,0,1020,0,1,1,31,200,0,0,1,81110,91110,3,0,0,150,0,0,22;23;24;25;28,1|1;2|2;3|4;4|255,0,1,0,210002|7090;210001|7090;210000|7090;170000|7090;170001|7090;170002|7090;170003|7090;170004|7090;170005|7090;170006|7090;170007|7090;170008|7040;170009|7040;170010|7090;170011|7090;170012|7090;170013|7090;170014|7090;170015|7090;170016|7090;170017|7090;170018|7040;170019|7040;170020|7090;170021|7090;170022|7090;170023|7090;170024|7090;170025|7090;170026|7090;170027|7090;170028|7040;170029|7040,210002|7090;210001|7090;210000|7090
3105,31,80,6,6,0;0,4,311,1,14,22,0,1,2,0,100,7,0,0,192,0,70,60,60,100,44,0,15,13,13,0,9,0,100,0,0,0,0,0,0,0,0,0,1,1,75,2,1,1,0,0,0,0,0,0,0,0,0,1020,0,1,1,31,400,0,0,1,81110,91110,3,0,0,150,0,0,22;23;24;25;28,1|1;2|2;3|4;4|255,0,1,0,210002|7090;210001|7090;210000|7090;170000|7090;170001|7090;170002|7090;170003|7090;170004|7090;170005|7090;170006|7090;170007|7090;170008|7040;170009|7040;170010|7090;170011|7090;170012|7090;170013|7090;170014|7090;170015|7090;170016|7090;170017|7090;170018|7040;170019|7040;170020|7090;170021|7090;170022|7090;170023|7090;170024|7090;170025|7090;170026|7090;170027|7090;170028|7040;170029|7040,210002|7090;210001|7090;210000|7090
3201,32,80,2,6,30;5000,0,321,2,11,21,2,2,1,0,100,7,0,0,109,36,0,38,34,60,25,7,0,8,7,0,7,0,100,0,0,0,0,0,0,0,0,0,1,1,75,2,1,50,0,0,0,0,0,0,0,0,0,850,0,1,1,32,10,0,0,1,81110,91110,2,0,0,150,0,0,1;2;3;4;6,1|1;2|2;3|4;4|255,0,1,1,210002|7060;210001|7060;210000|7060;170000|7060;170001|7060;170002|7060;170003|7060;170004|7060;170005|7060;170006|7060;170007|7060;170008|7010;170009|7010;170010|7060;170011|7060;170012|7060;170013|7060;170014|7060;170015|7060;170016|7060;170017|7060;170018|7010;170019|7010;170020|7060;170021|7060;170022|7060;170023|7060;170024|7060;170025|7060;170026|7060;170027|7060;170028|7010;170029|7010,210002|7060;210001|7060;210000|7060
3202,32,80,3,6,60;20000,0,321,2,11,21,2,2,1,0,100,7,0,0,127,42,0,44,40,70,29,9,0,9,8,0,7,0,100,0,0,0,0,0,0,0,0,0,1,1,75,2,1,50,0,0,0,0,0,0,0,0,0,850,0,1,1,32,40,0,0,1,81110,91110,2,0,0,150,0,0,1;2;3;4;6,1|1;2|2;3|4;4|255,0,1,1,210002|7060;210001|7060;210000|7060;170000|7060;170001|7060;170002|7060;170003|7060;170004|7060;170005|7060;170006|7060;170007|7060;170008|7010;170009|7010;170010|7060;170011|7060;170012|7060;170013|7060;170014|7060;170015|7060;170016|7060;170017|7060;170018|7010;170019|7010;170020|7060;170021|7060;170022|7060;170023|7060;170024|7060;170025|7060;170026|7060;170027|7060;170028|7010;170029|7010,210002|7060;210001|7060;210000|7060
3203,32,80,4,6,100;100000,0,321,2,11,21,2,2,1,0,100,7,0,0,145,48,0,51,46,80,33,10,0,11,10,0,7,0,100,0,0,0,0,0,0,0,0,0,1,1,75,2,1,50,0,0,0,0,0,0,0,0,0,850,0,1,1,32,100,0,0,1,81110,91110,2,0,0,150,0,0,1;2;3;4;6,1|1;2|2;3|4;4|255,0,1,1,210002|7060;210001|7060;210000|7060;170000|7060;170001|7060;170002|7060;170003|7060;170004|7060;170005|7060;170006|7060;170007|7060;170008|7010;170009|7010;170010|7060;170011|7060;170012|7060;170013|7060;170014|7060;170015|7060;170016|7060;170017|7060;170018|7010;170019|7010;170020|7060;170021|7060;170022|7060;170023|7060;170024|7060;170025|7060;170026|7060;170027|7060;170028|7010;170029|7010,210002|7060;210001|7060;210000|7060
3204,32,80,5,6,200;200000,0,321,2,11,21,2,2,1,0,100,7,0,0,164,54,0,57,51,90,37,11,0,12,11,0,7,0,100,0,0,0,0,0,0,0,0,0,1,1,75,2,1,50,0,0,0,0,0,0,0,0,0,850,0,1,1,32,200,0,0,1,81110,91110,2,0,0,150,0,0,1;2;3;4;6,1|1;2|2;3|4;4|255,0,1,1,210002|7060;210001|7060;210000|7060;170000|7060;170001|7060;170002|7060;170003|7060;170004|7060;170005|7060;170006|7060;170007|7060;170008|7010;170009|7010;170010|7060;170011|7060;170012|7060;170013|7060;170014|7060;170015|7060;170016|7060;170017|7060;170018|7010;170019|7010;170020|7060;170021|7060;170022|7060;170023|7060;170024|7060;170025|7060;170026|7060;170027|7060;170028|7010;170029|7010,210002|7060;210001|7060;210000|7060
3205,32,80,6,6,0;0,4,321,2,11,21,2,2,1,0,100,7,0,0,182,60,0,64,57,100,41,13,0,14,12,0,7,0,100,0,0,0,0,0,0,0,0,0,1,1,75,2,1,50,0,0,0,0,0,0,0,0,0,850,0,1,1,32,400,0,0,1,81110,91110,2,0,0,150,0,0,1;2;3;4;6,1|1;2|2;3|4;4|255,0,1,1,210002|7060;210001|7060;210000|7060;170000|7060;170001|7060;170002|7060;170003|7060;170004|7060;170005|7060;170006|7060;170007|7060;170008|7010;170009|7010;170010|7060;170011|7060;170012|7060;170013|7060;170014|7060;170015|7060;170016|7060;170017|7060;170018|7010;170019|7010;170020|7060;170021|7060;170022|7060;170023|7060;170024|7060;170025|7060;170026|7060;170027|7060;170028|7010;170029|7010,210002|7060;210001|7060;210000|7060
3301,33,80,2,6,30;5000,0,331,2,13,21,0,3,1,0,100,7,0,0,115,38,0,34,30,57,26,8,0,7,6,0,5,0,100,0,0,0,0,0,0,0,0,0,1,1,50,1,1,50,0,0,0,0,0,0,0,0,0,850,0,1,1,33,10,0,0,1,81110,91110,1,0,0,150,0,0,15;16;19;21;18,1|1;2|2;3|4;4|255,0,1,1,210002|7080;210001|7080;210000|7080;170000|7080;170001|7080;170002|7080;170003|7080;170004|7080;170005|7080;170006|7080;170007|7080;170008|7030;170009|7030;170010|7080;170011|7080;170012|7080;170013|7080;170014|7080;170015|7080;170016|7080;170017|7080;170018|7030;170019|7030;170020|7080;170021|7080;170022|7080;170023|7080;170024|7080;170025|7080;170026|7080;170027|7080;170028|7030;170029|7030,210002|7080;210001|7080;210000|7080
3302,33,80,3,6,60;20000,0,331,2,13,21,0,3,1,0,100,7,0,0,134,44,0,40,35,66,30,9,0,8,7,0,5,0,100,0,0,0,0,0,0,0,0,0,1,1,50,1,1,50,0,0,0,0,0,0,0,0,0,850,0,1,1,33,40,0,0,1,81110,91110,1,0,0,150,0,0,15;16;19;21;18,1|1;2|2;3|4;4|255,0,1,1,210002|7080;210001|7080;210000|7080;170000|7080;170001|7080;170002|7080;170003|7080;170004|7080;170005|7080;170006|7080;170007|7080;170008|7030;170009|7030;170010|7080;170011|7080;170012|7080;170013|7080;170014|7080;170015|7080;170016|7080;170017|7080;170018|7030;170019|7030;170020|7080;170021|7080;170022|7080;170023|7080;170024|7080;170025|7080;170026|7080;170027|7080;170028|7030;170029|7030,210002|7080;210001|7080;210000|7080
3303,33,80,4,6,100;100000,0,331,2,13,21,0,3,1,0,100,7,0,0,153,51,0,46,40,76,35,11,0,10,8,0,5,0,100,0,0,0,0,0,0,0,0,0,1,1,50,1,1,50,0,0,0,0,0,0,0,0,0,850,0,1,1,33,100,0,0,1,81110,91110,1,0,0,150,0,0,15;16;19;21;18,1|1;2|2;3|4;4|255,0,1,1,210002|7080;210001|7080;210000|7080;170000|7080;170001|7080;170002|7080;170003|7080;170004|7080;170005|7080;170006|7080;170007|7080;170008|7030;170009|7030;170010|7080;170011|7080;170012|7080;170013|7080;170014|7080;170015|7080;170016|7080;170017|7080;170018|7030;170019|7030;170020|7080;170021|7080;170022|7080;170023|7080;170024|7080;170025|7080;170026|7080;170027|7080;170028|7030;170029|7030,210002|7080;210001|7080;210000|7080
3304,33,80,5,6,200;200000,0,331,2,13,21,0,3,1,0,100,7,0,0,172,57,0,51,46,85,39,12,0,11,10,0,5,0,100,0,0,0,0,0,0,0,0,0,1,1,50,1,1,50,0,0,0,0,0,0,0,0,0,850,0,1,1,33,200,0,0,1,81110,91110,1,0,0,150,0,0,15;16;19;21;18,1|1;2|2;3|4;4|255,0,1,1,210002|7080;210001|7080;210000|7080;170000|7080;170001|7080;170002|7080;170003|7080;170004|7080;170005|7080;170006|7080;170007|7080;170008|7030;170009|7030;170010|7080;170011|7080;170012|7080;170013|7080;170014|7080;170015|7080;170016|7080;170017|7080;170018|7030;170019|7030;170020|7080;170021|7080;170022|7080;170023|7080;170024|7080;170025|7080;170026|7080;170027|7080;170028|7030;170029|7030,210002|7080;210001|7080;210000|7080
3305,33,80,6,6,0;0,4,331,2,13,21,0,3,1,0,100,7,0,0,192,64,0,57,51,95,44,14,0,12,11,0,5,0,100,0,0,0,0,0,0,0,0,0,1,1,50,1,1,50,0,0,0,0,0,0,0,0,0,850,0,1,1,33,400,0,0,1,81110,91110,1,0,0,150,0,0,15;16;19;21;18,1|1;2|2;3|4;4|255,0,1,1,210002|7080;210001|7080;210000|7080;170000|7080;170001|7080;170002|7080;170003|7080;170004|7080;170005|7080;170006|7080;170007|7080;170008|7030;170009|7030;170010|7080;170011|7080;170012|7080;170013|7080;170014|7080;170015|7080;170016|7080;170017|7080;170018|7030;170019|7030;170020|7080;170021|7080;170022|7080;170023|7080;170024|7080;170025|7080;170026|7080;170027|7080;170028|7030;170029|7030,210002|7080;210001|7080;210000|7080
3401,34,80,2,6,30;5000,0,341,2,14,23,0,2,2,0,100,7,0,0,92,0,39,29,42,51,21,0,8,6,9,0,7,0,100,0,0,0,0,0,0,0,0,0,1,1,75,1,1,50,0,0,0,0,0,0,0,0,0,1020,0,1,1,34,10,0,0,1,81110,91110,2,0,0,150,0,0,22;23;24;25;28,1|1;2|2;3|4;4|255,0,1,0,210002|7090;210001|7090;210000|7090;170000|7090;170001|7090;170002|7090;170003|7090;170004|7090;170005|7090;170006|7090;170007|7090;170008|7040;170009|7040;170010|7090;170011|7090;170012|7090;170013|7090;170014|7090;170015|7090;170016|7090;170017|7090;170018|7040;170019|7040;170020|7090;170021|7090;170022|7090;170023|7090;170024|7090;170025|7090;170026|7090;170027|7090;170028|7040;170029|7040,210002|7090;210001|7090;210000|7090
3402,34,80,3,6,60;20000,0,341,2,14,23,0,2,2,0,100,7,0,0,107,0,45,34,49,60,24,0,9,7,10,0,7,0,100,0,0,0,0,0,0,0,0,0,1,1,75,1,1,50,0,0,0,0,0,0,0,0,0,1020,0,1,1,34,40,0,0,1,81110,91110,2,0,0,150,0,0,22;23;24;25;28,1|1;2|2;3|4;4|255,0,1,0,210002|7090;210001|7090;210000|7090;170000|7090;170001|7090;170002|7090;170003|7090;170004|7090;170005|7090;170006|7090;170007|7090;170008|7040;170009|7040;170010|7090;170011|7090;170012|7090;170013|7090;170014|7090;170015|7090;170016|7090;170017|7090;170018|7040;170019|7040;170020|7090;170021|7090;170022|7090;170023|7090;170024|7090;170025|7090;170026|7090;170027|7090;170028|7040;170029|7040,210002|7090;210001|7090;210000|7090
3403,34,80,4,6,100;100000,0,341,2,14,23,0,2,2,0,100,7,0,0,122,0,52,39,56,68,28,0,11,8,12,0,7,0,100,0,0,0,0,0,0,0,0,0,1,1,75,1,1,50,0,0,0,0,0,0,0,0,0,1020,0,1,1,34,100,0,0,1,81110,91110,2,0,0,150,0,0,22;23;24;25;28,1|1;2|2;3|4;4|255,0,1,0,210002|7090;210001|7090;210000|7090;170000|7090;170001|7090;170002|7090;170003|7090;170004|7090;170005|7090;170006|7090;170007|7090;170008|7040;170009|7040;170010|7090;170011|7090;170012|7090;170013|7090;170014|7090;170015|7090;170016|7090;170017|7090;170018|7040;170019|7040;170020|7090;170021|7090;170022|7090;170023|7090;170024|7090;170025|7090;170026|7090;170027|7090;170028|7040;170029|7040,210002|7090;210001|7090;210000|7090
